==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
30.0231s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0231s  655.43us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [675]
30.0238s  82.529us                    -               -         -         -         -  1.0000MB  11.833GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0239s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0239s  424.17us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [688]
30.0244s  82.465us                    -               -         -         -         -  1.0000MB  11.842GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0245s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0245s  396.26us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [701]
30.0250s  213.47us                    -               -         -         -         -  2.2500MB  10.293GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0252s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0252s  689.19us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [714]
30.0260s  82.337us                    -               -         -         -         -  1.0000MB  11.861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0261s     896ns                    -               -         -         -         -  4.0000KB  4.2575GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0261s  426.50us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [727]
30.0266s  189.92us                    -               -         -         -         -  2.0000MB  10.284GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0268s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0268s  955.21us            (400 1 1)        (80 1 1)        96  7.1250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_12_kernel0 [741]
30.0279s  955.66us                    -               -         -         -         -  9.0000MB  9.1969GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0288s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0289s  1.0913ms             (25 1 1)       (256 1 1)       122  36.945KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_13_kernel0 [755]
30.0300s  839.47us                    -               -         -         -         -  8.0000MB  9.3065GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0309s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0309s  1.2100ms            (400 1 1)        (64 1 1)        80  2.7656KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_3_kernel0 [769]
30.0322s  405.12us                    -               -         -         -         -  4.0000MB  9.6421GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0326s  1.3120us                    -               -         -         -         -  8.0000KB  5.8151GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
