==6532== Profiling application: python maskrcnn_test.py
==6532== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
31.1815s  631.71us            (200 1 1)       (160 1 1)        64  3.8750KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [675]
31.1823s  82.368us                    -               -         -         -         -  1.0000MB  11.856GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1823s     896ns                    -               -         -         -         -  4.0000KB  4.2575GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1824s  426.11us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [688]
31.1829s  82.528us                    -               -         -         -         -  1.0000MB  11.833GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1830s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1830s  392.77us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [701]
31.1834s  214.08us                    -               -         -         -         -  2.2500MB  10.264GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1837s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1837s  631.07us            (200 1 1)       (160 1 1)        64  3.8750KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [714]
31.1844s  82.495us                    -               -         -         -         -  1.0000MB  11.838GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1845s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1845s  426.30us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [727]
31.1850s  188.64us                    -               -         -         -         -  2.0000MB  10.354GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1852s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1852s  976.09us            (200 1 1)        (80 1 1)       141  5.1250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_12_kernel0 [741]
31.1863s  947.19us                    -               -         -         -         -  9.0000MB  9.2791GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1872s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1873s  1.0887ms             (25 1 1)       (256 1 1)       122  36.945KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_13_kernel0 [755]
31.1884s  838.49us                    -               -         -         -         -  8.0000MB  9.3173GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1893s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1893s  1.1847ms            (400 1 1)        (64 1 1)        80  5.5313KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_3_kernel0 [769]
31.1906s  406.40us                    -               -         -         -         -  4.0000MB  9.6119GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1910s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1910s  441.95us            (320 1 1)       (100 1 1)        96  4.9063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_3_kernel0 [783]
31.1915s  410.30us                    -               -         -         -         -  4.0000MB  9.5204GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1919s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1920s  457.15us             (80 1 1)       (100 1 1)        96  9.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_14_kernel0 [797]
31.1925s  942.75us                    -               -         -         -         -  9.0000MB  9.3228GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1934s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1935s  1.0224ms             (40 1 1)       (400 1 1)        72  11.953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_15_kernel0 [811]
31.1946s  404.25us                    -               -         -         -         -  4.0000MB  9.6629GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1950s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1950s  439.58us            (320 1 1)       (100 1 1)        96  4.9063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_3_kernel0 [824]
31.1955s  400.48us                    -               -         -         -         -  4.0000MB  9.7540GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1959s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1959s  452.06us             (80 1 1)       (100 1 1)        96  9.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_14_kernel0 [837]
31.1965s  944.47us                    -               -         -         -         -  9.0000MB  9.3058GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1974s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1974s  1.0247ms             (40 1 1)       (400 1 1)        72  11.953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_15_kernel0 [850]
31.1985s  399.74us                    -               -         -         -         -  4.0000MB  9.7720GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1990s  1.2800us                    -               -         -         -         -  8.0000KB  5.9605GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1990s  443.55us            (320 1 1)       (100 1 1)        96  4.9063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_3_kernel0 [863]
31.1995s  188.45us                    -               -         -         -         -  2.0000MB  10.364GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1997s     832ns                    -               -         -         -         -  1.0000KB  1.1462GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1997s  304.83us             (80 1 1)       (125 1 1)        63  4.4063KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_4_kernel0 [877]
31.2000s  18.112us            (256 1 1)      (1024 1 1)        17        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_image_resize_kernel0 [883]
31.2001s  82.304us                    -               -         -         -         -  1.0000MB  11.865GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.2002s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
