==245118== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version
File test_street_small.jpg exists, skip.
==245118== Profiling application: python maskrcnn_test.py
==245118== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
29.9577s  690.88us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [558]
29.9585s  82.815us                    -               -         -         -         -  1.0000MB  11.792GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9586s     896ns                    -               -         -         -         -  4.0000KB  4.2575GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9586s  426.94us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [571]
29.9591s  82.207us                    -               -         -         -         -  1.0000MB  11.879GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9592s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9592s  394.11us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [584]
29.9597s  216.99us                    -               -         -         -         -  2.2500MB  10.126GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9599s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9599s  687.84us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [597]
29.9607s  82.431us                    -               -         -         -         -  1.0000MB  11.847GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9608s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9608s  427.65us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [610]
29.9613s  82.399us                    -               -         -         -         -  1.0000MB  11.852GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9614s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9614s  396.06us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [623]
29.9619s  217.12us                    -               -         -         -         -  2.2500MB  10.120GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9621s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9621s  652.38us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [636]
29.9629s  82.272us                    -               -         -         -         -  1.0000MB  11.870GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9630s  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9630s  427.84us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [649]
